profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
targeted_combined_v2,train-validation,false_positive,predicted,componentMean,1766,17.326087,21.063455,22.302649,23.666667,25.203846,26.787594,39.15,23.881442
targeted_combined_v2,train-validation,false_positive,predicted,componentPeak,1766,24.0,32.0,35.0,39.0,45.0,53.0,173.0,41.381653
targeted_combined_v2,train-validation,false_positive,predicted,elongation,1766,1.0,1.375,2.5,3.0,4.0,5.666667,34.0,3.434342
targeted_combined_v2,train-validation,false_positive,predicted,fillRatio,1766,0.03697,0.09295,0.123031,0.166667,0.225,0.279412,0.520833,0.179375
targeted_combined_v2,train-validation,false_positive,predicted,pixelArea,1766,14.0,19.0,24.0,36.0,70.0,103.0,645.0,52.544734
targeted_combined_v2,train-validation,false_positive,predicted,ringProminence,1766,14.526316,24.0,27.147143,31.985294,38.169276,45.473611,165.222222,33.867432
targeted_combined_v2,train-validation,true_positive,predicted,area,117,6.5,35.3,59.5,134.0,318.0,563.0,2719.0,248.871795
targeted_combined_v2,train-validation,true_positive,predicted,circularity,117,0.012394,0.030288,0.043235,0.072344,0.117625,0.154911,0.323076,0.08818
targeted_combined_v2,train-validation,true_positive,predicted,componentMean,117,19.954545,23.806493,25.156716,27.879464,31.966486,35.113069,40.222985,28.613436
targeted_combined_v2,train-validation,true_positive,predicted,componentPeak,117,27.0,53.0,63.0,89.0,139.0,154.4,188.0,99.367521
targeted_combined_v2,train-validation,true_positive,predicted,elongation,117,1.0,1.069444,1.193548,1.4,1.666667,2.61,4.52,1.607517
targeted_combined_v2,train-validation,true_positive,predicted,fillRatio,117,0.081582,0.135084,0.184659,0.258929,0.37,0.439479,0.622768,0.276146
targeted_combined_v2,train-validation,true_positive,predicted,pixelArea,117,16.0,66.8,101.0,207.0,399.0,699.4,3037.0,327.290598
targeted_combined_v2,train-validation,true_positive,predicted,ringProminence,117,19.022222,45.416882,55.260116,82.148148,131.96063,146.210141,178.468966,91.5776
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,area,93,0.0,19.5,73.0,180.0,404.0,959.5,6837.5,428.177419
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,circularity,93,0.0,0.169877,0.376948,0.518083,0.628812,0.712914,0.81104,0.482947
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,componentMean,93,4.0,5.757812,7.364985,11.041667,13.714286,19.50917,43.928571,12.491846
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,componentPeak,93,4.0,31.0,40.0,57.0,98.0,139.8,180.0,71.602151
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,elongation,93,1.0,1.104429,1.24,1.638889,2.363636,3.311111,7.333333,1.988233
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,fillRatio,93,0.0,0.201523,0.3625,0.511837,0.6,0.670524,0.802939,0.469395
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,pixelArea,93,1.0,32.2,96.0,226.0,498.0,1035.0,7003.0,469.032258
texture_noise_compact_circularity_area8,train-validation,false_negative,ground_truth,ringProminence,93,-1.75,24.900703,34.74359,50.925926,90.692308,133.338288,168.171429,64.572907
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,area,1,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,circularity,1,0.036919,0.036919,0.036919,0.036919,0.036919,0.036919,0.036919,0.036919
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,componentMean,1,20.11811,20.11811,20.11811,20.11811,20.11811,20.11811,20.11811,20.11811
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,componentPeak,1,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,elongation,1,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4
